timestamp,sound,light,movement,temperature,humidity,heartrate
2026-01-20T16:19:41.618524+00:00,89,1071,0.09,24.75,60.17,85
2026-01-20T16:19:42.184227+00:00,82,1078,0.1,24.74,60.19,85
2026-01-20T16:19:42.708724+00:00,68,1066,0.08,24.74,60.19,85
2026-01-20T16:19:43.343026+00:00,75,1059,0.08,24.73,60.19,85
2026-01-20T16:19:43.816821+00:00,85,1085,0.17,24.74,60.14,85
2026-01-20T16:19:44.340594+00:00,84,1072,0.11,24.71,60.14,85
2026-01-20T16:19:45.100846+00:00,76,1068,0.06,24.73,60.15,85
2026-01-20T16:19:45.511354+00:00,94,1088,0.08,24.74,60.15,85
2026-01-20T16:19:46.035956+00:00,86,1072,0.07,24.73,60.08,85
2026-01-20T16:19:46.554860+00:00,74,1081,0.11,24.73,60.03,85
2026-01-20T16:19:47.137456+00:00,76,1073,0.16,24.71,60.04,85
2026-01-20T16:19:47.645371+00:00,77,1072,0.16,24.72,60.05,85
2026-01-20T16:19:48.246723+00:00,95,1081,0.14,24.72,60.09,85
2026-01-20T16:19:48.753929+00:00,60,1069,0.13,24.73,60.1,85
2026-01-20T16:19:49.415363+00:00,81,1078,0.11,24.73,60.13,85
2026-01-20T16:19:49.876970+00:00,76,1072,0.09,24.73,60.13,85
2026-01-20T16:19:50.447628+00:00,73,1065,0.07,24.73,60.12,85
2026-01-20T16:19:50.988292+00:00,78,1088,0.1,24.74,60.12,85
2026-01-20T16:19:51.521366+00:00,73,1075,0.11,24.74,60.14,85
2026-01-20T16:19:52.106396+00:00,60,1070,0.12,24.74,60.14,85
2026-01-20T16:19:52.645453+00:00,105,1079,0.16,24.74,60.14,85
2026-01-20T16:19:53.183523+00:00,76,1067,0.15,24.74,60.15,85
2026-01-20T16:19:53.769603+00:00,83,1082,0.07,24.75,60.15,85
2026-01-20T16:19:54.288028+00:00,86,1071,0.09,24.74,60.15,85
2026-01-20T16:19:54.828879+00:00,68,1067,0.1,24.75,60.18,85
2026-01-20T16:19:55.444937+00:00,67,1081,0.08,24.75,60.15,85
2026-01-20T16:19:55.919285+00:00,84,1070,0.09,24.75,60.09,85
2026-01-20T16:19:56.521833+00:00,82,1082,0.07,24.73,60.04,85
2026-01-20T16:19:57.074604+00:00,79,1069,0.11,24.74,59.95,85
2026-01-20T16:19:57.596759+00:00,86,1070,0.09,24.73,59.89,85
2026-01-20T16:19:58.119440+00:00,73,1081,0.05,24.71,59.88,85
2026-01-20T16:19:58.721500+00:00,72,1072,0.05,24.73,59.88,85
2026-01-20T16:19:59.273894+00:00,89,1069,0.05,24.73,59.89,85
